Q124099301,født: 30-1-1913 i Odense Død: 15-3-1960 (47 år) Gravsted: Vestre Kirkegård - Kbh
Q124099303,født: 18-12-1891 i Horsens Død: 15-11-1950 (58 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099324,født: 26-12-1927 Død: 4-7-1993 (65 år) Gravsted: Manglende oplysning
Q124099326,født: 13-10-1827 i København Død: 1-4-1890 (62 år) Gravsted: Garnisons Kirkegård - Kbh (nedlagt)
Q124099333,født: 14-7-1927 i København Død: 24-3-1957 (29 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099334,"født: 29-6-1878 i Tønsberg, Norge Død: 18-10-1948 (70 år) Gravsted: Tårnby Kirkegård"
Q124099335,født: 24-1-1879 i København Død: 8-6-1951 (72 år) Gravsted: Solbjerg Parkkirkegård - Frederiksberg
Q124099336,født: 6-5-1853 i København Død: 1-5-1929 (75 år) Gravsted: Assistens Kirkegård - Nørrebro - Kbh
Q124099361,"født: 6-9-1897 i Soderup, Fløng sogn Død: 3-3-1982 (84 år) Gravsted: Holmens Kirkegård - Østerbro"
Q124099364,født: 20-11-1908 i Århus Død: 23-3-1996 (87 år) Gravsted: Holmens Kirkegård - Østerbro (fællesgrav)
Q124099388,født: 10-5-1905 i København Død: 24-4-1987 (81 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099396,"født: 10-8-1895 i Lund, Sverige Død: 21-9-1975 (80 år) Gravsted: Norra Kyrkogården, Lund, Sverige"
Q124099403,født: 27-6-1891 i København Død: 22-12-1967 (76 år) Gravsted: Sundby Kirkegård - Kbh
Q124099404,"født: 24-3-1853 i Ulefoss, Norge Død: 10-5-1927 (74 år) Gravsted: Brødrehøj, Vældegårdsvej, Gentofte"
Q124099405,født: 13-8-1857 i Kerteminde Død: 25-12-1942 (85 år) Gravsted: Assistens Kirkegård - Nørrebro - Kbh
Q124099407,"født: 11-7-1873 i Malmøhus län, Sverige Død: 11-10-1952 (79 år) Gravsted: Bispebjerg Kirkegård - Kbh"
Q124099409,født: 2-1-1897 i København Død: 6-1-1940 (43 år) Gravsted: Vestre Kirkegård - Kbh
Q124099410,født: 7-5-1914 i Nyborg Død: 9-10-1953 (39 år) Gravsted: Søndermark Kirkegård - Frederiksberg
Q124099418,født: 30-12-1922 Død: 12-2-1998 (75 år) Gravsted: Lemvig Kirkegård
Q125152358,født: 31-7-1944 i Sønderjylland Død: 25-6-1993 (48 år) Gravsted: Manglende oplysning
Q124099269,født: 29-5-1884 i København Død: 10-11-1946 (62 år) Gravsted: Solbjerg Parkkirkegård - Frederiksberg
Q124099287,født: 29-11-1902 i København Død: 7-8-1977 (74 år) Gravsted: Manglende oplysning
Q124099307,født: 10-9-1867 i København Død: 21-4-1914 (46 år) Gravsted: Vestre Kirkegård - Kbh
Q124099315,født: 24-12-1875 i København Død: 20-11-1943 (67 år) Gravsted: Assistens Kirkegård - Nørrebro - Kbh
Q124099321,født: 27-10-1851 i København Død: 21-1-1901 (49 år) Gravsted: Manglende oplysning
Q124099342,født: 28-2-1908 i Odense Død: 20-3-1943 (35 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099352,født: 26-3-1945 Død: 23-12-2018 (73 år) Mindebog Gravsted: Manglende oplysning
Q124099355,født: 11-12-1921 i København Død: 21-12-1992 (71 år) Gravsted: Manglende oplysning
Q124099369,født: 13-5-1883 i Randers Død: 17-6-1934 (51 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099381,født: 27-3-1947 Død: 27-4-2020 (73 år) Mindebog Gravsted: Aske spredt over havet
Q124099392,født: 13-4-1916 i Frederikshavn Død: 1-3-2017 (100 år) Gravsted: Manglende oplysning
Q124099411,født: 1-3-1896 i København Død: 18-11-1975 (79 år) Gravsted: Solbjerg Parkkirkegård - Frederiksberg
Q124099417,født: 25-11-1871 i København Død: 9-10-1947 (75 år) Gravsted: Søndermark Kirkegård - Frederiksberg
Q124099259,født: 5-8-1889 i København Død: 14-6-1964 (74 år) Gravsted: Roskilde Østre Kirkegård
Q124099264,"født: 22-1-1912 i København Død: 24-2-1980 (68 år) Gravsted: Vejlby Kirkegård, Risskov v/ Århus (nedlagt) lapd"
Q124099265,født: 9-10-1917 i Horsens Død: 22-10-1964 (47 år) Gravsted: Horsens Nordre Kirkegård
Q124099298,født: 21-1-1940 i Aalborg Død: 8-8-2005 (65 år) Gravsted: Manglende oplysning
Q124099299,født: 21-3-1893 i København Død: 5-7-1976 (83 år) Gravsted: Manglende oplysning
Q124099311,født: 16-5-1933 i København Død: 23-6-1986 (53 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099313,født: 14-12-1915 i København Død: 30-4-1959 (43 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099318,født: 19-12-1902 i København Død: 30-8-1959 (56 år) Gravsted: Bispebjerg Kirkegård - Kbh
Q124099325,født: 23-5-1853 i Kalundborg Død: 20-6-1927 (74 år) Gravsted: Manglende oplysning
Q124099327,født: 25-8-1870 i København Død: 17-6-1941 (70 år) Gravsted: Assistens Kirkegård - Nørrebro - Kbh
Q124099341,"født: 22-7-1874 i Ishøj sogn, København Død: 7-12-1951 (77 år) Gravsted: Århus Vestre Kirkegård"
Q124099349,født: 11-9-1928 i København Død: 17-11-1993 (65 år) Gravsted: Manglende oplysning
Q124099360,født: 7-2-1872 i Norge Død: 19-4-1945 (73 år) Gravsted: Assistens Kirkegård - Nørrebro - Kbh
Q124099383,født: 13-6-1926 Død: 10-6-2010 (83 år) Gravsted: Manglende oplysning
Q124099401,født: 19-3-1888 i København Død: 2-10-1944 (56 år) Gravsted: Århus Nordre Kirkegård
Q124099402,født: 21-11-1881 i København Død: 17-10-1959 (77 år) Gravsted: Søllerød Kirkegård
Q124373025,født: 2-2-1973 (50 år)
